u,v,w
308,191,31.165
308,328,6.631
309,310,32.110
310,320,42.746
310,54,66.479
310,309,32.110
311,57,100.828
311,266,74.008
311,327,16.635
312,313,119.552
313,160,8.458
313,312,119.552
314,315,39.349
314,162,49.816
315,314,39.349
315,163,52.591
316,18,9.655
317,193,30.393
317,192,51.177
317,331,9.337
318,1,12.097
318,333,6.610
318,21,60.765
319,7,19.681
320,310,42.746
321,223,10.318
322,124,11.141
323,125,14.385
324,293,85.276
324,2,17.096
325,2,19.058
325,324,19.474
326,262,19.003
327,311,16.635
328,308,6.631
329,191,7.131
330,192,6.530
331,317,9.337
332,193,6.187
333,318,6.610
334,180,11.011
335,16,19.382
336,99,53.102
336,101,50.840
336,342,24.130
336,238,316.268
337,95,139.449
337,100,61.343
338,126,577.461
339,340,98.078
340,107,41.136
340,339,98.078
341,107,196.820
342,102,39.098
342,336,24.130
342,106,239.465
342,99,69.836
343,285,20.540
343,344,66.821
343,234,365.476
344,343,66.821
344,287,343.891
344,286,269.784
345,298,20.943
345,348,16.516
345,346,123.000
346,345,123.000
347,348,127.091
348,345,16.516
348,301,15.155
348,347,127.091
349,350,102.406
350,175,30.391
350,349,102.406
351,99,57.388
352,87,7.477
353,86,20.274
354,251,401.654
355,283,73.199
